2
30 6 4 4 20
3 0 0 0 0 3 
2 0 0 0 0 6 
1 3 1 1 3 1 
2 0 2 0 0 2 
0 0 4 3 1 1
3 0 0 0 1 3 
2 0 0 0 4 6 
1 3 1 1 3 1 
2 0 2 0 0 2 
0 0 4 3 1 1
3 0 0 0 1 3 
2 0 0 0 4 6 
1 3 1 1 3 1 
2 0 2 0 0 2 
0 0 4 3 1 1
3 0 0 0 1 3 
2 0 0 0 4 6 
1 3 1 1 3 1 
2 0 2 0 0 2 
0 0 4 3 1 1
3 0 0 0 1 3 
2 0 0 0 4 6 
1 3 1 1 3 1 
2 0 2 0 0 2 
0 0 4 3 1 1
3 0 0 0 1 3 
2 0 0 0 4 6 
1 3 1 1 3 1 
2 0 2 0 0 2 
0 0 4 3 1 1
11 6 4 4 5
3 0 0 0 0 3 
2 0 0 0 0 6 
1 3 1 1 3 1 
2 0 2 0 0 2 
0 0 4 3 1 1
3 0 0 0 1 3 
2 0 0 0 4 6 
1 3 1 1 3 1 
2 0 2 0 0 2 
0 0 4 3 1 1
3 0 0 0 1 3 
